SubjectID,Treatment,session,Position,Age,Gender,Major,ETF,PreviousExperiment,Round,MatchedWith,pair,Controller,ScheduleNum,Agreement,Transfer,Offers,Token,Flag,s1,s2,s3,s4,s5,s6,s7,Best SchNum,onehundrednumber,max,chosen,difference,efficiency
5,Certainty,1,H,5,Female,Other,0,1,Round Three,3,9,0,4,1,40,1,55,,80,80,75,80,80,100,80,6,6,100,80,-20,0.8
6,Certainty,1,H,20,Female,Other,0,0,Round One,3,7,1,4,1,15,2,55,,80,90,100,95,90,95,80,3,3,100,95,-5,0.95
6,Certainty,1,H,20,Female,Other,0,0,Round Two,2,5,1,4,1,15,1,40,,90,100,95,90,95,85,90,2,2,100,90,-10,0.9
6,Certainty,1,H,20,Female,Other,0,0,Round Three,1,3,1,6,1,35,1,25,,80,80,75,80,80,100,80,6,6,100,100,0,1
7,Certainty,2,L,22,Female,NRS,0,0,Round One,10,10,0,4,1,0,1,40,,80,90,100,95,90,95,80,3,3,100,95,-5,0.95
7,Certainty,2,L,22,Female,NRS,0,0,Round Two,11,11,0,3,1,15,2,30,,90,100,95,90,95,85,90,2,2,100,95,-5,0.95
7,Certainty,2,L,22,Female,NRS,0,0,Round Three,12,12,0,4,1,5,1,25,,80,80,75,80,80,100,80,6,6,100,80,-20,0.8
8,Certainty,2,L,19,Female,Other,0,2,Round One,11,13,0,5,1,45,4,65,,80,90,100,95,90,95,80,3,3,100,90,-10,0.9
8,Certainty,2,L,19,Female,Other,0,2,Round Two,12,14,1,4,1,0,6,50,,90,100,95,90,95,85,90,2,2,100,90,-10,0.9
8,Certainty,2,L,19,Female,Other,0,2,Round Three,10,15,1,4,1,30,3,25,,80,80,75,80,80,100,80,6,6,100,80,-20,0.8
9,Certainty,2,L,22,Female,NRS,0,3,Round One,12,16,1,3,1,15,11,35,,80,90,100,95,90,95,80,3,3,100,100,0,1
9,Certainty,2,L,22,Female,NRS,0,3,Round Two,10,17,1,4,1,0,1,50,,90,100,95,90,95,85,90,2,2,100,90,-10,0.9
9,Certainty,2,L,22,Female,NRS,0,3,Round Three,11,18,0,6,1,31,19,75,,80,80,75,80,80,100,80,6,6,100,100,0,1
10,Certainty,2,H,21,Female,NRS,0,0,Round One,7,10,1,4,1,0,1,55,,80,90,100,95,90,95,80,3,3,100,95,-5,0.95
10,Certainty,2,H,21,Female,NRS,0,0,Round Two,9,17,0,4,1,0,1,40,,90,100,95,90,95,85,90,2,2,100,90,-10,0.9
10,Certainty,2,H,21,Female,NRS,0,0,Round Three,8,15,0,4,1,30,3,55,,80,80,75,80,80,100,80,6,6,100,80,-20,0.8
11,Certainty,2,H,19,Male,BIO,1,0,Round One,8,13,1,5,1,45,4,25,,80,90,100,95,90,95,80,3,3,100,90,-10,0.9
11,Certainty,2,H,19,Male,BIO,1,0,Round Two,7,11,1,5,1,15,2,65,,90,100,95,90,95,85,90,2,2,100,95,-5,0.95
11,Certainty,2,H,19,Male,BIO,1,0,Round Three,9,18,1,6,1,31,19,25,,80,80,75,80,80,100,80,6,6,100,100,0,1
12,Certainty,2,H,21,Female,ENRE,1,6,Round One,9,16,0,3,1,15,11,65,,80,90,100,95,90,95,80,3,3,100,100,0,1
12,Certainty,2,H,21,Female,ENRE,1,6,Round Two,8,14,0,4,1,0,6,40,,90,100,95,90,95,85,90,2,2,100,90,-10,0.9
12,Certainty,2,H,21,Female,ENRE,1,6,Round Three,7,12,1,4,1,0,1,55,,80,80,75,80,80,100,80,6,6,100,80,-20,0.8
13,Certainty,3,L,20,Male,Other,0,2,Round One,16,19,0,4,1,0,1,40,,80,90,100,95,90,95,80,3,3,100,95,-5,0.95
13,Certainty,3,L,20,Male,Other,0,2,Round Two,17,20,0,2,1,5,15,15,,90,100,95,90,95,85,90,2,2,100,100,0,1
13,Certainty,3,L,20,Male,Other,0,2,Round Three,18,21,1,4,1,20,2,25,,80,80,75,80,80,100,80,6,6,100,80,-20,0.8
14,Certainty,3,L,19,Male,NRS,0,0,Round One,17,22,1,5,1,0,2,65,,80,90,100,95,90,95,80,3,3,100,90,-10,0.9
14,Certainty,3,L,19,Male,NRS,0,0,Round Two,18,23,0,3,1,10,4,30,,90,100,95,90,95,85,90,2,2,100,95,-5,0.95
14,Certainty,3,L,19,Male,NRS,0,0,Round Three,16,24,0,6,1,25,31,75,,80,80,75,80,80,100,80,6,6,100,100,0,1
15,Certainty,3,L,18,Male,Other,1,1,Round One,18,25,0,4,1,15,6,40,,80,90,100,95,90,95,80,3,3,100,95,-5,0.95
15,Certainty,3,L,18,Male,Other,1,1,Round Two,16,26,1,4,1,0,3,50,,90,100,95,90,95,85,90,2,2,100,90,-10,0.9
15,Certainty,3,L,18,Male,Other,1,1,Round Three,17,27,0,5,1,10,1,45,,80,80,75,80,80,100,80,6,6,100,80,-20,0.8
16,Certainty,3,H,19,Male,ENRE,1,0,Round One,13,19,1,4,1,0,1,55,,80,90,100,95,90,95,80,3,3,100,95,-5,0.95
16,Certainty,3,H,19,Male,ENRE,1,0,Round Two,15,26,0,4,1,0,3,40,,90,100,95,90,95,85,90,2,2,100,90,-10,0.9
16,Certainty,3,H,19,Male,ENRE,1,0,Round Three,14,24,1,6,1,25,31,25,,80,80,75,80,80,100,80,6,6,100,100,0,1
17,Certainty,3,H,18,Female,Other,0,2,Round One,14,22,0,5,1,0,2,25,,80,90,100,95,90,95,80,3,3,100,90,-10,0.9
17,Certainty,3,H,18,Female,Other,0,2,Round Two,13,20,1,2,1,5,15,85,,90,100,95,90,95,85,90,2,2,100,100,0,1
17,Certainty,3,H,18,Female,Other,0,2,Round Three,15,27,1,5,1,10,1,35,,80,80,75,80,80,100,80,6,6,100,80,-20,0.8
18,Certainty,3,H,19,Male,NRS,0,1,Round One,15,25,1,4,1,15,6,55,,80,90,100,95,90,95,80,3,3,100,95,-5,0.95
18,Certainty,3,H,19,Male,NRS,0,1,Round Two,14,23,1,3,1,10,4,65,,90,100,95,90,95,85,90,2,2,100,95,-5,0.95
18,Certainty,3,H,19,Male,NRS,0,1,Round Three,13,21,0,4,1,20,2,55,,80,80,75,80,80,100,80,6,6,100,80,-20,0.8
19,Uncertainty,4,L,22,Male,Other,1,0,Round One,22,28,1,4,1,15,5,40,,80,90,100,95,90,95,80,3,3,100,95,-5,0.95
19,Uncertainty,4,L,22,Male,Other,1,0,Round Two,23,29,1,5,1,5,7,75,,90,100,95,90,95,85,90,2,2,100,95,-5,0.95
19,Uncertainty,4,L,22,Male,Other,1,0,Round Three,24,30,1,6,1,5,8,75,,80,80,75,80,80,100,80,6,6,100,100,0,1
20,Uncertainty,4,L,20,Female,BIO,0,1,Round One,23,31,0,5,1,40,1,65,,80,90,100,95,90,95,80,3,3,100,90,-10,0.9
20,Uncertainty,4,L,20,Female,BIO,0,1,Round Two,24,32,1,4,1,8,5,50,,90,100,95,90,95,85,90,2,2,100,90,-10,0.9
20,Uncertainty,4,L,20,Female,BIO,0,1,Round Three,22,33,1,5,1,0,6,45,,80,80,75,80,80,100,80,6,6,100,80,-20,0.8
21,Uncertainty,4,L,19,Male,Other,0,0,Round One,24,34,0,3,0,0,24,35,,80,90,100,95,90,95,80,3,3,100,100,0,1
21,Uncertainty,4,L,19,Male,Other,0,0,Round Two,22,35,1,4,1,8,4,50,,90,100,95,90,95,85,90,2,2,100,90,-10,0.9
21,Uncertainty,4,L,19,Male,Other,0,0,Round Three,23,36,0,5,1,14,3,45,,80,80,75,80,80,100,80,6,6,100,80,-20,0.8
22,Uncertainty,4,H,21,Male,Other,0,0,Round One,19,28,0,4,1,15,5,55,,80,90,100,95,90,95,80,3,3,100,95,-5,0.95
22,Uncertainty,4,H,21,Male,Other,0,0,Round Two,21,35,0,4,1,8,4,40,,90,100,95,90,95,85,90,2,2,100,90,-10,0.9
22,Uncertainty,4,H,21,Male,Other,0,0,Round Three,20,33,0,5,1,0,6,35,,80,80,75,80,80,100,80,6,6,100,80,-20,0.8
23,Uncertainty,4,H,22,Female,BIO,0,2,Round One,20,31,1,5,1,40,1,25,,80,90,100,95,90,95,80,3,3,100,90,-10,0.9
23,Uncertainty,4,H,22,Female,BIO,0,2,Round Two,19,29,0,5,1,5,7,20,,90,100,95,90,95,85,90,2,2,100,95,-5,0.95
23,Uncertainty,4,H,22,Female,BIO,0,2,Round Three,21,36,1,5,1,14,3,35,,80,80,75,80,80,100,80,6,6,100,80,-20,0.8
24,Uncertainty,4,H,21,Female,Other,0,2,Round One,21,34,1,3,0,0,24,65,,80,90,100,95,90,95,80,3,3,100,100,0,1
24,Uncertainty,4,H,21,Female,Other,0,2,Round Two,20,32,0,4,1,8,5,40,,90,100,95,90,95,85,90,2,2,100,90,-10,0.9
24,Uncertainty,4,H,21,Female,Other,0,2,Round Three,19,30,0,6,1,5,8,25,,80,80,75,80,80,100,80,6,6,100,100,0,1
25,Uncertainty,5,L,20,Female,Other,0,0,Round One,26,38,1,6,0,0,13,75,,80,90,100,95,90,95,80,3,3,100,95,-5,0.95
25,Uncertainty,5,L,20,Female,Other,0,0,Round Two,27,39,1,4,1,25,6,50,,90,100,95,90,95,85,90,2,2,100,90,-10,0.9
25,Uncertainty,5,L,20,Female,Other,0,0,Round Three,28,40,1,6,1,0,6,75,,80,80,75,80,80,100,80,6,6,100,100,0,1
26,Uncertainty,5,H,21,Female,Other,0,0,Round One,25,38,0,6,0,0,13,20,,80,90,100,95,90,95,80,3,3,100,95,-5,0.95
26,Uncertainty,5,L,21,Female,Other,0,0,Round Two,28,41,1,5,1,10,8,75,,90,100,95,90,95,85,90,2,2,100,95,-5,0.95
26,Uncertainty,5,L,21,Female,Other,0,0,Round Three,27,42,0,3,0,0,5,15,,80,80,75,80,80,100,80,6,6,100,75,-25,0.75
27,Uncertainty,5,L,22,Female,Other,1,2,Round One,28,43,0,4,1,10,1,40,,80,90,100,95,90,95,80,3,3,100,95,-5,0.95
27,Uncertainty,5,H,22,Female,Other,1,2,Round Two,25,39,0,4,1,25,6,40,,90,100,95,90,95,85,90,2,2,100,90,-10,0.9
27,Uncertainty,5,H,22,Female,Other,1,2,Round Three,26,42,1,3,0,0,6,60,,80,80,75,80,80,100,80,6,6,100,75,-25,0.75
28,Uncertainty,5,H,23,Female,Other,1,1,Round One,27,43,1,4,1,10,1,55,,80,90,100,95,90,95,80,3,3,100,95,-5,0.95
28,Uncertainty,5,H,23,Female,Other,1,1,Round Two,26,41,0,5,1,10,8,20,,90,100,95,90,95,85,90,2,2,100,95,-5,0.95
28,Uncertainty,5,H,23,Female,Other,1,1,Round Three,25,40,0,6,1,0,6,25,,80,80,75,80,80,100,80,6,6,100,100,0,1
29,Ambiguity,6,L,20,Male,Other,0,0,Round One,32,44,1,4,1,8,2,40,,80,90,100,95,90,95,80,3,3,100,95,-5,0.95
29,Ambiguity,6,L,20,Male,Other,0,0,Round Two,33,45,1,1,1,45,6,0,,90,100,95,90,95,85,90,2,2,100,90,-10,0.9
29,Ambiguity,6,L,20,Male,Other,0,0,Round Three,34,46,0,6,1,20,2,75,,80,80,75,80,80,100,80,6,6,100,100,0,1
30,Ambiguity,6,L,20,Female,BIO,0,0,Round One,33,47,0,3,1,65,3,35,,80,90,100,95,90,95,80,3,3,100,100,0,1
30,Ambiguity,6,L,20,Female,BIO,0,0,Round Two,34,48,0,4,1,40,1,50,,90,100,95,90,95,85,90,2,2,100,90,-10,0.9
30,Ambiguity,6,L,20,Female,BIO,0,0,Round Three,32,49,1,1,1,60,5,0,,80,80,75,80,80,100,80,6,6,100,80,-20,0.8
31,Ambiguity,6,L,22,Male,Other,0,1,Round One,34,50,1,4,1,25,4,40,,80,90,100,95,90,95,80,3,3,100,95,-5,0.95
31,Ambiguity,6,L,22,Male,Other,0,1,Round Two,32,51,1,7,0,0,8,90,,90,100,95,90,95,85,90,2,2,100,90,-10,0.9
31,Ambiguity,6,L,22,Male,Other,0,1,Round Three,33,52,1,7,0,0,14,80,,80,80,75,80,80,100,80,6,6,100,80,-20,0.8
32,Ambiguity,6,H,20,Male,Other,0,0,Round One,29,44,0,4,1,8,2,55,,80,90,100,95,90,95,80,3,3,100,95,-5,0.95
32,Ambiguity,6,H,20,Male,Other,0,0,Round Two,31,51,0,7,0,0,8,0,,90,100,95,90,95,85,90,2,2,100,90,-10,0.9
32,Ambiguity,6,H,20,Male,Other,0,0,Round Three,30,49,0,1,1,60,5,80,,80,80,75,80,80,100,80,6,6,100,80,-20,0.8
33,Ambiguity,6,H,23,Male,MAF,0,0,Round One,30,47,1,3,1,65,3,65,,80,90,100,95,90,95,80,3,3,100,100,0,1
33,Ambiguity,6,H,23,Male,MAF,0,0,Round Two,29,45,0,1,1,45,6,90,,90,100,95,90,95,85,90,2,2,100,90,-10,0.9
33,Ambiguity,6,H,23,Male,MAF,0,0,Round Three,31,52,0,7,0,0,14,0,,80,80,75,80,80,100,80,6,6,100,80,-20,0.8
34,Ambiguity,6,H,23,Male,BIO,0,2,Round One,31,50,0,4,1,25,4,55,,80,90,100,95,90,95,80,3,3,100,95,-5,0.95
34,Ambiguity,6,H,23,Male,BIO,0,2,Round Two,30,48,1,4,1,40,1,40,,90,100,95,90,95,85,90,2,2,100,90,-10,0.9
34,Ambiguity,6,H,23,Male,BIO,0,2,Round Three,29,46,1,6,1,20,2,25,,80,80,75,80,80,100,80,6,6,100,100,0,1
35,Ambiguity,7,L,23,Female,Other,0,0,Round One,38,53,1,7,0,0,7,80,,80,90,100,95,90,95,80,3,3,100,80,-20,0.8
35,Ambiguity,7,L,23,Female,Other,0,0,Round Two,39,54,0,4,1,0,2,50,,90,100,95,90,95,85,90,2,2,100,90,-10,0.9
35,Ambiguity,7,L,23,Female,Other,0,0,Round Three,40,55,1,7,0,0,3,80,,80,80,75,80,80,100,80,6,6,100,80,-20,0.8
36,Ambiguity,7,L,22,Female,Other,0,0,Round One,39,56,1,1,1,80,1,0,,80,90,100,95,90,95,80,3,3,100,80,-20,0.8
36,Ambiguity,7,L,22,Female,Other,0,0,Round Two,40,57,1,5,1,45,3,75,,90,100,95,90,95,85,90,2,2,100,95,-5,0.95
36,Ambiguity,7,L,22,Female,Other,0,0,Round Three,38,58,0,5,1,25,1,45,,80,80,75,80,80,100,80,6,6,100,80,-20,0.8
37,Ambiguity,7,L,18,Female,ENRE,0,0,Round One,40,59,0,5,1,40,5,65,,80,90,100,95,90,95,80,3,3,100,90,-10,0.9
37,Ambiguity,7,L,18,Female,ENRE,0,0,Round Two,38,60,1,4,1,10,11,50,,90,100,95,90,95,85,90,2,2,100,90,-10,0.9
37,Ambiguity,7,L,18,Female,ENRE,0,0,Round Three,39,61,0,5,1,10,1,45,,80,80,75,80,80,100,80,6,6,100,80,-20,0.8
38,Ambiguity,7,H,19,Female,Other,1,0,Round One,35,53,0,7,0,0,7,0,,80,90,100,95,90,95,80,3,3,100,80,-20,0.8
38,Ambiguity,7,H,19,Female,Other,1,0,Round Two,37,60,0,4,1,10,11,40,,90,100,95,90,95,85,90,2,2,100,90,-10,0.9
38,Ambiguity,7,H,19,Female,Other,1,0,Round Three,36,58,1,5,1,25,1,35,,80,80,75,80,80,100,80,6,6,100,80,-20,0.8
39,Ambiguity,7,H,19,Female,Other,0,0,Round One,36,56,0,1,1,80,1,80,,80,90,100,95,90,95,80,3,3,100,80,-20,0.8
39,Ambiguity,7,H,19,Female,Other,0,0,Round Two,35,54,1,4,1,0,2,40,,90,100,95,90,95,85,90,2,2,100,90,-10,0.9
39,Ambiguity,7,H,19,Female,Other,0,0,Round Three,37,61,1,5,1,10,1,35,,80,80,75,80,80,100,80,6,6,100,80,-20,0.8
40,Ambiguity,7,H,23,Male,MAF,0,0,Round One,37,59,1,5,1,40,5,25,,80,90,100,95,90,95,80,3,3,100,90,-10,0.9
40,Ambiguity,7,H,23,Male,MAF,0,0,Round Two,36,57,0,5,1,45,3,20,,90,100,95,90,95,85,90,2,2,100,95,-5,0.95
40,Ambiguity,7,H,23,Male,MAF,0,0,Round Three,35,55,0,7,0,0,3,0,,80,80,75,80,80,100,80,6,6,100,80,-20,0.8
